,subject,predicate,object,from,until,object_has_years,subject_has_years
6398,Alan W. Livingston,died in,"Beverly Hills, California",2009-03-13,2009-03-13,False,False
6399,Louis Plack Hammett,died in,New Jersey,1987-02-09,1987-02-09,False,False
6400,Daniel Nathans,died in,Baltimore,1999-11-16,1999-11-16,False,False
6401,Frances Folsom Cleveland Preston,died in,Baltimore,1947-10-29,1947-10-29,False,False
6402,Walter M. Elsasser,died in,Baltimore,1991-10-14,1991-10-14,False,False
6403,Gordon Scott,died in,Baltimore,2007-04-30,2007-04-30,False,False
6404,Donald Henderson,died in,Baltimore,2016-08-19,2016-08-19,False,False
6405,Henry Augustus Rowland,died in,Baltimore,1901-04-16,1901-04-16,False,False
6406,Augustus Bradford,died in,Baltimore,1881-03-01,1881-03-01,False,False
6407,George J. Armelagos,died in,Atlanta,2014-05-15,2014-05-15,False,False
6408,Patsy Ramsey,died in,Atlanta,2006-06-24,2006-06-24,False,False
6409,Alexander H. Stephens,died in,Atlanta,1883-03-04,1883-03-04,False,False
6410,Charles Beaumont,died in,"Woodland Hills, Los Angeles",1967-02-21,1967-02-21,False,False
6411,Sally Eilers,died in,"Woodland Hills, Los Angeles",1978-01-05,1978-01-05,False,False
6412,Stanley Kramer,died in,"Woodland Hills, Los Angeles",2001-02-19,2001-02-19,False,False
6413,Mary Dodson,died in,"Woodland Hills, Los Angeles",2016-02-15,2016-02-15,False,False
6414,John Hopkins (writer),died in,"Woodland Hills, Los Angeles",1998-07-23,1998-07-23,False,False
6415,Mae Murray,died in,"Woodland Hills, Los Angeles",1965-03-23,1965-03-23,False,False
6416,Irene Hervey,died in,"Woodland Hills, Los Angeles",1998-12-20,1998-12-20,False,False
6417,Madlyn Rhue,died in,"Woodland Hills, Los Angeles",2003-12-16,2003-12-16,False,False
6418,Kent Smith,died in,"Woodland Hills, Los Angeles",1985-04-23,1985-04-23,False,False
6419,Allan Dwan,died in,"Woodland Hills, Los Angeles",1981-12-28,1981-12-28,False,False
6420,Monica Lewis,died in,"Woodland Hills, Los Angeles",2015-06-12,2015-06-12,False,False
6421,Lee Farr,died in,"Woodland Hills, Los Angeles",2017-03-23,2017-03-23,False,False
6422,Buster Keaton,died in,"Woodland Hills, Los Angeles",1966-02-01,1966-02-01,False,False
6423,Anna Karen Morrow,died in,"Woodland Hills, Los Angeles",2009-07-01,2009-07-01,False,False
6424,Jean Parker,died in,"Woodland Hills, Los Angeles",2005-11-30,2005-11-30,False,False
6425,Hampton Del Ruth,died in,"Woodland Hills, Los Angeles",1958-03-15,1958-03-15,False,False
6426,Ralph Forbes,died in,The Bronx,1951-03-31,1951-03-31,False,False
6427,Rosalyn Sussman Yalow,died in,The Bronx,2011-05-30,2011-05-30,False,False
6428,Konstantinos Tsatsos,died in,Athens,1987-10-08,1987-10-08,False,False
6429,Jules Dassin,died in,Athens,2008-03-31,2008-03-31,False,False
6430,Benjamin Harrison,died in,Indianapolis,1901-03-13,1901-03-13,False,False
6431,Aage Bohr,died in,Copenhagen,2009-09-08,2009-09-08,False,False
6432,Hans Christian Ørsted,died in,Copenhagen,1851-03-09,1851-03-09,False,False
6433,Annette Stroyberg,died in,Copenhagen,2005-12-12,2005-12-12,False,False
6434,Robert Peel,died in,Westminster,1850-07-02,1850-07-02,False,False
6435,Keith Moon,died in,Westminster,1978-09-07,1978-09-07,False,False
6436,Sandra Dorne,died in,Westminster,1992-12-25,1992-12-25,False,False
6437,Valerie Hobson,died in,Westminster,1998-11-13,1998-11-13,False,False
6438,Fumiko Enchi,died in,Tokyo,1986-11-12,1986-11-12,False,False
6439,Shōhei Ōoka,died in,Tokyo,1988-12-25,1988-12-25,False,False
6440,Donn F. Eisele,died in,Tokyo,1987-12-02,1987-12-02,False,False
6441,Kōri Hisataka,died in,Tokyo,1988-08-14,1988-08-14,False,False
6442,Kenwa Mabuni,died in,Tokyo,1952-05-23,1952-05-23,False,False
6443,Kunio Hatoyama,died in,Tokyo,2016-06-21,2016-06-21,False,False
6444,Gichin Funakoshi,died in,Tokyo,1957-04-26,1957-04-26,False,False
6445,Toshiyuki Hosokawa,died in,Tokyo,2011-01-14,2011-01-14,False,False
6446,Mutsuko Miki,died in,Tokyo,2012-07-31,2012-07-31,False,False
6447,Takeo Miki,died in,Tokyo,1988-11-14,1988-11-14,False,False
6448,Georg Wittig,died in,Heidelberg,1987-08-26,1987-08-26,False,False
6449,Richard Kuhn,died in,Heidelberg,1967-08-01,1967-08-01,False,False
6450,Wilhelm Windelband,died in,Heidelberg,1915-10-22,1915-10-22,False,False
6451,Friedrich Gustav Carl Emil Erlenmeyer,died in,Berlin,1921-02-08,1921-02-08,False,False
6452,Hilde Neumann,died in,Berlin,1959-09-11,1959-09-11,False,False
6453,Heinz Zöger,died in,Berlin,2000-03-21,2000-03-21,False,False
6454,Werner Krauss (academic),died in,Berlin,1976-08-26,1976-08-26,False,False
6455,Edgar Speyer,died in,Berlin,1932-02-16,1932-02-16,False,False
6456,Horst Sindermann,died in,Berlin,1990-04-20,1990-04-20,False,False
6457,Johannes Stelling,died in,Berlin,1933-06-22,1933-06-22,False,False
6458,Ladislaus Bortkiewicz,died in,Berlin,1931-07-15,1931-07-15,False,False
6459,Carl Ferdinand Langhans,died in,Berlin,1869-##-##,1869-##-##,False,False
6460,Alexander von Humboldt,died in,Berlin,1859-05-06,1859-05-06,False,False
6461,Carl Gustav Jacob Jacobi,died in,Berlin,1851-02-18,1851-02-18,False,False
6462,Emmi Handke,died in,Berlin,1994-01-17,1994-01-17,False,False
6463,Friedrich Gorenstein,died in,Berlin,2002-03-02,2002-03-02,False,False
6464,Hermann Budzislawski,died in,Berlin,1978-04-28,1978-04-28,False,False
6465,Otto Heinrich Warburg,died in,Berlin,1970-08-01,1970-08-01,False,False
6466,Hermann Emil Fischer,died in,Berlin,1919-07-15,1919-07-15,False,False
6467,August Wilhelm von Hofmann,died in,Berlin,1892-05-05,1892-05-05,False,False
6468,Thea von Harbou,died in,Berlin,1954-07-01,1954-07-01,False,False
6469,Georg Ulrich Handke,died in,Berlin,1962-09-07,1962-09-07,False,False
6470,Carola Stern,died in,Berlin,2006-01-19,2006-01-19,False,False
6471,Franz Dahlem,died in,Berlin,1981-12-17,1981-12-17,False,False
6472,Joseph Goebbels,died in,Berlin,1945-05-01,1945-05-01,False,False
6473,Gerhard Scholz,died in,Berlin,1989-08-31,1989-08-31,False,False
6474,Karl Friedrich Schinkel,died in,Berlin,1841-##-##,1841-##-##,False,False
6475,Ursula Kuczynski,died in,Berlin,2000-07-07,2000-07-07,False,False
6476,Franz Gürtner,died in,Berlin,1941-01-29,1941-01-29,False,False
6477,Walther Neye,died in,Berlin,1989-08-12,1989-08-12,False,False
6478,Suzanne Cloutier,died in,Montreal,2003-12-02,2003-12-02,False,False
6479,Stanley Mandelstam,died in,"Berkeley, California",2016-06-11,2016-06-11,False,False
6480,Luis Walter Alvarez,died in,"Berkeley, California",1988-09-01,1988-09-01,False,False
6481,Vonetta McGee,died in,"Berkeley, California",2010-07-09,2010-07-09,False,False
6482,Alfred Tarski,died in,"Berkeley, California",1983-10-26,1983-10-26,False,False
6483,Carl Sagan,died in,Seattle,1996-12-20,1996-12-20,False,False
6484,Emil Sick,died in,Seattle,1964-11-10,1964-11-10,False,False
6485,B. Marcus Priteca,died in,Seattle,1971-10-01,1971-10-01,False,False
6486,Robert F. Furchgott,died in,Seattle,2009-05-19,2009-05-19,False,False
6487,Seth Neddermeyer,died in,Seattle,1988-01-29,1988-01-29,False,False
6488,Elliot See,died in,St. Louis,1966-02-28,1966-02-28,False,False
6489,Francis Preston Blair Jr.,died in,St. Louis,1875-07-08,1875-07-08,False,False
6490,James T. Moore,died in,St. Louis,2006-##-##,2006-##-##,False,False
6491,John Zaborszky,died in,St. Louis,2008-02-11,2008-02-11,False,False
6492,Virginia E. Johnson,died in,St. Louis,2013-07-24,2013-07-24,False,False
6493,Elinor Kershaw,died in,Hollywood,1971-09-12,1971-09-12,False,False
6494,Alice Joyce,died in,Hollywood,1955-10-09,1955-10-09,False,False
6495,Alice Lake,died in,Hollywood,1967-11-15,1967-11-15,False,False
6496,Kevin Peter Hall,died in,Hollywood,1991-04-10,1991-04-10,False,False
6497,Alfred Hickman,died in,Hollywood,1931-04-09,1931-04-09,False,False
6498,Lillie Hayward,died in,Hollywood,1977-06-29,1977-06-29,False,False
6499,Inger Stevens,died in,Hollywood,1970-04-30,1970-04-30,False,False
6500,Lowell Sherman,died in,Hollywood,1934-12-28,1934-12-28,False,False
6501,Eddie Laughton,died in,Hollywood,1952-03-21,1952-03-21,False,False
6502,Phillips Smalley,died in,Hollywood,1939-05-02,1939-05-02,False,False
6503,Harry Myers,died in,Hollywood,1938-12-25,1938-12-25,False,False
6504,Alan Dinehart,died in,Hollywood,1944-07-18,1944-07-18,False,False
6505,Susanne Cramer,died in,Hollywood,1969-01-07,1969-01-07,False,False
6506,Ozzie Nelson,died in,Hollywood,1975-06-03,1975-06-03,False,False
6507,Hale Hamilton,died in,Hollywood,1942-05-19,1942-05-19,False,False
6508,Fanny Brice,died in,Hollywood,1951-05-29,1951-05-29,False,False
6509,Peter Ganine,died in,Hollywood,1974-08-11,1974-08-11,False,False
6510,Paul Douglas (actor),died in,Hollywood,1959-09-11,1959-09-11,False,False
6511,Guinn \u0022Big Boy\u0022 Williams,died in,Hollywood,1962-06-06,1962-06-06,False,False
6512,Lois Weber,died in,Hollywood,1939-11-13,1939-11-13,False,False
6513,Adrian (costume designer),died in,Hollywood,1959-09-13,1959-09-13,False,False
6514,Zoltan Korda,died in,Hollywood,1961-10-13,1961-10-13,False,False
6515,Robert Williams (actor),died in,Hollywood,1931-11-03,1931-11-03,False,False
6516,Mary Eaton,died in,Hollywood,1948-10-10,1948-10-10,False,False
6517,Edward Coxen,died in,Hollywood,1954-11-21,1954-11-21,False,False
6518,Margaret Johnston,died in,Kingston upon Thames,2002-06-19,2002-06-19,False,False
6519,Vijaya Kumaranatunga,died in,Sri Lanka,1988-02-16,1988-02-16,False,False
6520,Elvira Quintillá,died in,Madrid,2013-12-27,2013-12-27,False,False
6521,Emma Cohen,died in,Madrid,2016-07-11,2016-07-11,False,False
6522,Fernando Fernán Gómez,died in,Madrid,2007-11-21,2007-11-21,False,False
6523,Severo Ochoa,died in,Madrid,1993-11-01,1993-11-01,False,False
6524,Roy Kinnear,died in,Madrid,1988-09-20,1988-09-20,False,False
6525,Manuel Fraga Iribarne,died in,Madrid,2012-01-15,2012-01-15,False,False
6526,John W. Taylor (politician),died in,Cleveland,1854-09-18,1854-09-18,False,False
6527,Hugo Sofovich,died in,Buenos Aires,2003-01-12,2003-01-12,False,False
6528,Gerald D. Aurbach,died in,"Charlottesville, Virginia",1991-11-04,1991-11-04,False,False
6529,Bernard Brodie (biochemist),died in,"Charlottesville, Virginia",1989-##-##,1989-##-##,False,False
6530,James Morrison (American football),died in,"Charlottesville, Virginia",1939-05-15,1939-05-15,False,False
6531,Clinton Davisson,died in,"Charlottesville, Virginia",1958-02-01,1958-02-01,False,False
6532,A. W. Tillinghast,died in,"Toledo, Ohio",1942-05-19,1942-05-19,False,False
6533,Lyman Spitzer,died in,"Princeton, New Jersey",1997-03-31,1997-03-31,False,False
6534,Robert H. Dicke,died in,"Princeton, New Jersey",1997-03-04,1997-03-04,False,False
6535,Marilyn McCord Adams,died in,"Princeton, New Jersey",2017-03-22,2017-03-22,False,False
6536,Eugene Wigner,died in,"Princeton, New Jersey",1995-01-01,1995-01-01,False,False
6537,Hassler Whitney,died in,"Princeton, New Jersey",1989-05-10,1989-05-10,False,False
6538,Martin David Kruskal,died in,"Princeton, New Jersey",2006-12-26,2006-12-26,False,False
6539,André Weil,died in,"Princeton, New Jersey",1998-08-06,1998-08-06,False,False
6540,John N. Mather,died in,"Princeton, New Jersey",2017-01-28,2017-01-28,False,False
6541,Peter Benchley,died in,"Princeton, New Jersey",2006-02-11,2006-02-11,False,False
6542,Albert Einstein,died in,"Princeton, New Jersey",1955-04-18,1955-04-18,False,False
6543,Kurt Gödel,died in,"Princeton, New Jersey",1978-01-14,1978-01-14,False,False
6544,Atle Selberg,died in,"Princeton, New Jersey",2007-08-06,2007-08-06,False,False
6545,Bohdan Paczyński,died in,"Princeton, New Jersey",2007-04-19,2007-04-19,False,False
6546,Henry Norris Russell,died in,"Princeton, New Jersey",1957-02-18,1957-02-18,False,False
6547,Val Logsdon Fitch,died in,"Princeton, New Jersey",2015-02-05,2015-02-05,False,False
6548,Grover Cleveland,died in,"Princeton, New Jersey",1908-06-24,1908-06-24,False,False
6549,Ethelind Terry,died in,"Fort Lauderdale, Florida",1984-03-17,1984-03-17,False,False
6550,Robert Trent Jones,died in,"Fort Lauderdale, Florida",2000-06-14,2000-06-14,False,False
6551,Wisława Szymborska,died in,Kraków,2012-02-01,2012-02-01,False,False
6552,Georg Wildführ,died in,Leipzig,1984-08-04,1984-08-04,False,False
6553,Lothar Bisky,died in,Leipzig,2013-08-13,2013-08-13,False,False
6554,A. G. L. Shaw,died in,Melbourne,2012-04-05,2012-04-05,False,False
6555,Reg Turnbull,died in,Melbourne,2006-07-17,2006-07-17,False,False
6556,Dora Lush,died in,Melbourne,1943-05-20,1943-05-20,False,False
6557,George Fairbairn (politician),died in,Melbourne,1943-10-23,1943-10-23,False,False
6558,Martin Glaessner,died in,Melbourne,1989-11-23,1989-11-23,False,False
6559,James McColl (Australian politician),died in,Melbourne,1929-02-20,1929-02-20,False,False
6560,John Quick (politician),died in,Melbourne,1932-06-17,1932-06-17,False,False
6561,Dorothea Lange,died in,San Francisco,1965-10-11,1965-10-11,False,False
6562,Niven Busch,died in,San Francisco,1991-08-25,1991-08-25,False,False
6563,Charles S. Howard,died in,San Francisco,1950-06-06,1950-06-06,False,False
6564,Milton Friedman,died in,San Francisco,2006-11-16,2006-11-16,False,False
6565,Charles J. Fillmore,died in,San Francisco,2014-02-13,2014-02-13,False,False
6566,Saunders Mac Lane,died in,San Francisco,2005-04-14,2005-04-14,False,False
6567,Henry Stephenson,died in,San Francisco,1956-04-24,1956-04-24,False,False
6568,Al Jolson,died in,San Francisco,1950-10-23,1950-10-23,False,False
6569,Harry Lane,died in,San Francisco,1917-05-23,1917-05-23,False,False
6570,George Eckstein,died in,"Brentwood, Los Angeles",2009-09-12,2009-09-12,False,False
6571,Jacqueline Piatigorsky,died in,"Brentwood, Los Angeles",2012-07-15,2012-07-15,False,False
6572,Harry Carey (actor),died in,"Brentwood, Los Angeles",1947-09-21,1947-09-21,False,False
6573,June Haver,died in,"Brentwood, Los Angeles",2005-07-04,2005-07-04,False,False
6574,Giovanni Muzio,died in,Milan,1982-05-21,1982-05-21,False,False
6575,Dario Fo,died in,Milan,2016-10-13,2016-10-13,False,False
6576,Franca Rame,died in,Milan,2013-05-29,2013-05-29,False,False
6577,Duke Ferdinand Frederick Augustus of Württemberg,died in,Wiesbaden,1834-01-20,1834-01-20,False,False
6578,Lennie Hayton,died in,"Palm Springs, California",1971-04-24,1971-04-24,False,False
6579,Donald Wills Douglas Sr.,died in,"Palm Springs, California",1981-02-01,1981-02-01,False,False
6580,A. Edward Sutherland,died in,"Palm Springs, California",1973-##-##,1973-##-##,False,False
6581,Moss Hart,died in,"Palm Springs, California",1961-12-20,1961-12-20,False,False
6582,Adrianne Wadewitz,died in,"Palm Springs, California",2014-04-08,2014-04-08,False,False
6583,Alan Ladd,died in,"Palm Springs, California",1964-01-29,1964-01-29,False,False
6584,Betty Hutton,died in,"Palm Springs, California",2007-03-12,2007-03-12,False,False
6585,Janet Gaynor,died in,"Palm Springs, California",1984-09-14,1984-09-14,False,False
6586,Russell Hayden,died in,"Palm Springs, California",1981-06-09,1981-06-09,False,False
6587,Tylman van Gameren,died in,Warsaw,1706-##-##,1706-##-##,False,False
6588,Alan P. Merriam,died in,Warsaw,1980-03-14,1980-03-14,False,False
6589,Melchior Wańkowicz,died in,Warsaw,1974-09-10,1974-09-10,False,False
6590,John McKinley,died in,"Louisville, Kentucky",1852-07-19,1852-07-19,False,False
6591,Faiz Ahmad Faiz,died in,Lahore,1984-11-20,1984-11-20,False,False
6592,Rafi Muhammad Chaudhry,died in,Lahore,1988-12-04,1988-12-04,False,False
6593,Bano Qudsia,died in,Lahore,2017-02-04,2017-02-04,False,False
6594,Yash Chopra,died in,Mumbai,2012-10-21,2012-10-21,False,False
6595,Smita Patil,died in,Mumbai,1986-12-13,1986-12-13,False,False
6596,Nargis,died in,Mumbai,1981-05-03,1981-05-03,False,False
6597,Harivansh Rai Bachchan,died in,Mumbai,2003-01-18,2003-01-18,False,False
6598,Madhubala,died in,Mumbai,1969-02-23,1969-02-23,False,False
6599,Umashankar Joshi,died in,Mumbai,1988-12-19,1988-12-19,False,False
6600,Sunil Dutt,died in,Mumbai,2005-05-25,2005-05-25,False,False
6601,Bhupen Hazarika,died in,Mumbai,2011-11-05,2011-11-05,False,False
6602,Raja Ramanna,died in,Mumbai,2004-09-24,2004-09-24,False,False
6603,Teji Bachchan,died in,Mumbai,2007-12-21,2007-12-21,False,False
6604,G. V. Iyer,died in,Mumbai,2003-12-21,2003-12-21,False,False
6605,Bob Joshua,died in,Ballarat,1970-06-02,1970-06-02,False,False
6606,Pony Poindexter,died in,"Oakland, California",1988-04-14,1988-04-14,False,False
6607,Robert C. Maynard,died in,"Oakland, California",1993-08-17,1993-08-17,False,False
6608,Leo Gorcey,died in,"Oakland, California",1969-06-02,1969-06-02,False,False
6609,Romualdo Pacheco,died in,"Oakland, California",1899-01-23,1899-01-23,False,False
6610,Charles H. Townes,died in,"Oakland, California",2015-01-27,2015-01-27,False,False
6611,Jerzy Neyman,died in,"Oakland, California",1981-08-05,1981-08-05,False,False
6612,Susan Norris Fitkin,died in,"Oakland, California",1951-10-18,1951-10-18,False,False
6613,James C. Auchincloss,died in,"Alexandria, Virginia",1976-10-02,1976-10-02,False,False
6614,Wernher von Braun,died in,"Alexandria, Virginia",1977-06-16,1977-06-16,False,False
6615,Amelita Ward,died in,"Alexandria, Virginia",1987-05-##,1987-05-##,False,False
6616,Robert M. T. Hunter,died in,"Alexandria, Virginia",1887-07-18,1887-07-18,False,False
6617,Ruth Chatterton,died in,"Norwalk, Connecticut",1961-11-24,1961-11-24,False,False
